fecha,precio_alquiler_eur_m2,coste_salarial_ordinario_eur
2024-11,13.33,2010
2024-12,13.53,2010
2025-01,13.82,2025.89
2025-02,14.02,2025.89
2025-03,14.02,2025.89
2025-04,14.32,2041.43
2025-05,14.52,2041.43
2025-06,14.62,2041.43
2025-07,14.62,2071.74
2025-08,14.52,2071.74
2025-09,14.52,2071.74
